ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0192	NCBI	NA	GCF_000504545.1	Cronobacter malonaticus	CMCC45402	ASM50454v1	China	Asia		milk	Unknown	Food and Food Ingredients
ND_NC0193	NCBI	NA	GCF_000742335.1	Cronobacter malonaticus	685	ASM74233v1	USA	North America		blood	1977	Clinical and Medical Samples
ND_NC0194	NCBI	NA	GCF_000742345.1	Cronobacter malonaticus	687	ASM74234v1	Czech Republic	Europe		sputum	2004	Clinical and Medical Samples
ND_NC0195	NCBI	NA	GCF_000742355.1	Cronobacter malonaticus	1545	ASM74235v1	Czech Republic	Europe		feces	1984	Clinical and Medical Samples
ND_NC0196	NCBI	NA	GCF_000742395.1	Cronobacter malonaticus	1558	ASM74239v1	Czech Republic	Europe		feces	1984	Clinical and Medical Samples
ND_NC0197	NCBI	NA	GCF_000742405.1	Cronobacter malonaticus	1569	ASM74240v1	USA	North America		blood	2011	Clinical and Medical Samples
ND_NC0198	NCBI	NA	GCF_001922805.1	Cronobacter malonaticus	MOD1-Md25g	ASM192280v1	USA	North America		gut	2012	Clinical and Medical Samples
ND_NC0199	NCBI	NA	GCF_001922825.1	Cronobacter malonaticus	MOD1-Md27g	ASM192282v1	USA	North America		gut	2012	Clinical and Medical Samples
ND_NC0200	NCBI	NA	GCF_001922875.1	Cronobacter malonaticus	MOD1-Md99g	ASM192287v1	USA	North America		alimentary canal	2012	Clinical and Medical Samples
ND_NC0201	NCBI	NA	GCF_002093915.1	Cronobacter malonaticus	HB03	ASM209391v1	China	Asia		cerebrospinal fluid	2014	Clinical and Medical Samples
ND_NC0202	NCBI	NA	GCF_002978135.2	Cronobacter malonaticus	cro3263A1	ASM297813v2	China	Asia		food	2015	Food and Food Ingredients
ND_NC0203	NCBI	NA	GCF_002978155.1	Cronobacter malonaticus	cro913A2	ASM297815v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0204	NCBI	NA	GCF_002978165.1	Cronobacter malonaticus	cro913W	ASM297816v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0205	NCBI	NA	GCF_002978175.1	Cronobacter malonaticus	cro795W2	ASM297817v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0206	NCBI	NA	GCF_002978185.1	Cronobacter malonaticus	cro138	ASM297818v1	China	Asia		food	2011	Food and Food Ingredients
ND_NC0207	NCBI	NA	GCF_002978235.1	Cronobacter malonaticus	cro645W	ASM297823v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0208	NCBI	NA	GCF_002978245.1	Cronobacter malonaticus	cro745W	ASM297824v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0209	NCBI	NA	GCF_002978275.1	Cronobacter malonaticus	cro235	ASM297827v1	China	Asia		food	2011	Food and Food Ingredients
ND_NC0210	NCBI	NA	GCF_002978285.1	Cronobacter malonaticus	cro645B1	ASM297828v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0211	NCBI	NA	GCF_002978315.1	Cronobacter malonaticus	cro881W1	ASM297831v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0212	NCBI	NA	GCF_002978325.1	Cronobacter malonaticus	cro2841W	ASM297832v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0213	NCBI	NA	GCF_002978335.1	Cronobacter malonaticus	cro931C1	ASM297833v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0214	NCBI	NA	GCF_002978375.1	Cronobacter malonaticus	cro530C3	ASM297837v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0215	NCBI	NA	GCF_002978385.1	Cronobacter malonaticus	cro714W	ASM297838v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0216	NCBI	NA	GCF_002978395.1	Cronobacter malonaticus	cro630W2	ASM297839v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0217	NCBI	NA	GCF_002978405.2	Cronobacter malonaticus	cro4164A3	ASM297840v2	China	Asia		food	2016	Food and Food Ingredients
ND_NC0218	NCBI	NA	GCF_002978455.1	Cronobacter malonaticus	cro965A1	ASM297845v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0219	NCBI	NA	GCF_002978475.1	Cronobacter malonaticus	cro1031W	ASM297847v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0220	NCBI	NA	GCF_002978485.1	Cronobacter malonaticus	199G	ASM297848v1	China	Asia		food	2007	Food and Food Ingredients
ND_NC0221	NCBI	NA	GCF_002978495.1	Cronobacter malonaticus	cro695B2	ASM297849v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0222	NCBI	NA	GCF_002978535.1	Cronobacter malonaticus	cro1410A1	ASM297853v1	China	Asia		food	2013	Food and Food Ingredients
ND_NC0223	NCBI	NA	GCF_002978545.1	Cronobacter malonaticus	cro909B1	ASM297854v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0224	NCBI	NA	GCF_002978565.1	Cronobacter malonaticus	cro2834C2	ASM297856v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0225	NCBI	NA	GCF_002983535.1	Cronobacter malonaticus	cro914W	ASM298353v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0226	NCBI	NA	GCF_002983555.1	Cronobacter malonaticus	cro863C2	ASM298355v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0227	NCBI	NA	GCF_002983565.1	Cronobacter malonaticus	cro864B2-3	ASM298356v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0228	NCBI	NA	GCF_002983575.1	Cronobacter malonaticus	cro831C3	ASM298357v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0229	NCBI	NA	GCF_003795605.1	Cronobacter malonaticus	S1	ASM379560v1	China	Asia		Rectal swab	2016	Clinical and Medical Samples
ND_NC0230	NCBI	NA	GCF_003858305.1	Cronobacter malonaticus	S3	ASM385830v1	China	Asia		rectal swab	2016	Clinical and Medical Samples
ND_NC0232	NCBI	NA	GCF_009938605.1	Cronobacter malonaticus	SD16	ASM993860v1	China	Asia		water	2010	Food and Food Ingredients
ND_NC0233	NCBI	NA	GCF_009938615.1	Cronobacter malonaticus	SD26	ASM993861v1	China	Asia		water	2010	Food and Food Ingredients
ND_NC0234	NCBI	NA	GCF_009938655.1	Cronobacter malonaticus	SD11	ASM993865v1	China	Asia		water	2010	Food and Food Ingredients
ND_NC0235	NCBI	NA	GCF_009938735.1	Cronobacter malonaticus	SC01	ASM993873v1	China	Asia		food	2010	Food and Food Ingredients
ND_NC0236	NCBI	NA	GCF_009938865.1	Cronobacter malonaticus	BJ15	ASM993886v1	China	Asia		stool	2013	Clinical and Medical Samples
ND_NC0237	NCBI	NA	GCF_013186065.1	Cronobacter malonaticus	CMa3	ASM1318606v1	China	Asia		powdered infant formula	2012	Food and Food Ingredients
ND_NC0238	NCBI	NA	GCF_015350615.1	Cronobacter malonaticus	MOD1_GK1518	ASM1535061v1	Germany	Europe		environmental swab sponge powder infant formula manufacturing facility	2015	Environmental Samples
ND_NC0239	NCBI	NA	GCF_015353245.1	Cronobacter malonaticus	MOD1_GK1510	ASM1535324v1	Germany	Europe		environmental swab sponge powder infant formula manufacturing facility	2015	Environmental Samples
ND_NC0240	NCBI	NA	GCF_015353415.1	Cronobacter malonaticus	MOD1_GK796	ASM1535341v1	Germany	Europe		environmental swab sponge powder infant formula manufacturing facility	2015	Environmental Samples
ND_NC0241	NCBI	NA	GCF_015353475.1	Cronobacter malonaticus	MOD1_GK1360	ASM1535347v1	Germany	Europe		environmental swab sponge powder infant formula manufacturing facility	2015	Environmental Samples
ND_NC0242	NCBI	NA	GCF_015353485.1	Cronobacter malonaticus	MOD1_GK1357	ASM1535348v1	Germany	Europe		environmental swab sponge powder infant formula manufacturing facility	2015	Environmental Samples
ND_NC0243	NCBI	NA	GCF_015353535.1	Cronobacter malonaticus	MOD1_GK1358	ASM1535353v1	Germany	Europe		environmental swab sponge powder infant formula manufacturing facility	2015	Environmental Samples
