ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC2709	NCBI	NA	GCF_011066255.1	Other	EKM101R	ASM1106625v1	Canada	North America		seeds	2014	Food and Food Ingredients
ND_NC2711	NCBI	NA	GCF_011066275.1	Other	EKM102R	ASM1106627v1	Canada	North America		seeds	2014	Food and Food Ingredients
ND_NC2713	NCBI	NA	GCF_011605905.1	Other	HA18003	ASM1160590v1	China	Asia		Powdered Infant Formula	2018	Food and Food Ingredients
ND_NC2714	NCBI	NA	GCF_011605445.1	Other	HA18006	ASM1160544v1	China	Asia		Powdered Infant Formula	2018	Food and Food Ingredients
ND_NC2715	NCBI	NA	GCF_008932145.1	Other	JZ38	ASM893214v1	Saudi Arabia	Asia			2014	Unknown and Unclassified Sources
ND_PM0049	PubMLST	395		Other	Pagg-1838		Czech Republic	Europe		Clinical	2012	Clinical and Medical Samples
ND_PM0076	PubMLST	559		Other	El-1977		United Kingdom	Europe		Clinical	Unknown	Clinical and Medical Samples
ND_PM0077	PubMLST	564		Other	Ck-BAA-895		USA	North America			Unknown	Unknown and Unclassified Sources
ND_PM0078	PubMLST	565		Other	E-638		USA	North America			Unknown	Unknown and Unclassified Sources
ND_PM0090	PubMLST	611		Other	Fp-G-601/05T		Switzerland	Europe		Fruit powder	2007	Food and Food Ingredients
ND_PM0091	PubMLST	612		Other	Fp-G-1160/04		Switzerland	Europe		Fruit powder	2007	Food and Food Ingredients
ND_PM0092	PubMLST	613		Other	St-z610		Unknown	Unknown			2007	Unknown and Unclassified Sources
ND_PM0097	PubMLST	644		Other	St-z508		Unknown	Unknown		Fruit powder	Unknown	Food and Food Ingredients
ND_PM0102	PubMLST	698		Other	Eaer-KCTC2190T		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0103	PubMLST	699		Other	Eas-LF7a		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0104	PubMLST	700		Other	Eas-L1		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0105	PubMLST	701		Other	Ec-ATCC13047T		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0106	PubMLST	702		Other	Cr-ICC168		Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0107	PubMLST	703		Other	Cf-ATCC8090T	MTCC 1658	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM0108	PubMLST	834		Other	Sc-2249	NU3	United Kingdom	Europe		Tea	2014	Food and Food Ingredients
