ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0412	NCBI	NA	GCF_003516125.1	Cronobacter sakazakii	CS-931	ASM351612v3	Mexico	North America		feces	2016	Clinical and Medical Samples
ND_NC0413	NCBI	NA	GCF_000698225.1	Cronobacter sakazakii	HPB5174	ASM69822v1	Ireland	Europe		swab from food processing facility	2008	Environmental Samples
ND_NC0414	NCBI	NA	GCF_000974965.1	Cronobacter sakazakii	NM1240	ASM97496v1	USA	North America		cerebrospinal fluid from a fatal case of infantile meningitis	2008	Clinical and Medical Samples
ND_NC0415	NCBI	NA	GCF_000982825.1	Cronobacter sakazakii	ATCC 29544	ASM98282v1	USA	North America		primary hospital lab	1970	Clinical and Medical Samples
ND_NC0416	NCBI	NA	GCF_001277275.1	Cronobacter sakazakii	NCTC 8155	ASM127727v1	United Kingdom	Europe		milk	1980	Food and Food Ingredients
ND_NC0417	NCBI	NA	GCF_001308935.1	Cronobacter sakazakii	702	ASM130893v1	France	Europe		feces from infant with NECI	1994	Clinical and Medical Samples
ND_NC0418	NCBI	NA	GCF_001308945.1	Cronobacter sakazakii	712	ASM130894v1	France	Europe		reconstituted formula which had not been fed to infant	1994	Food and Food Ingredients
ND_NC0420	NCBI	NA	GCF_001308965.1	Cronobacter sakazakii	707	ASM130896v1	France	Europe		skin from infant with NECII	1994	Clinical and Medical Samples
ND_NC0421	NCBI	NA	GCF_001309015.1	Cronobacter sakazakii	695	ASM130901v1	France	Europe		trachea from infant with NECII	1994	Clinical and Medical Samples
ND_NC0422	NCBI	NA	GCF_001309035.1	Cronobacter sakazakii	709	ASM130903v1	France	Europe		trachea from infant with septicemia	1994	Clinical and Medical Samples
ND_NC0423	NCBI	NA	GCF_001309045.1	Cronobacter sakazakii	706	ASM130904v1	France	Europe		feces from infant with NECII	1994	Clinical and Medical Samples
ND_NC0424	NCBI	NA	GCF_001309055.1	Cronobacter sakazakii	705	ASM130905v1	France	Europe		throat from infant with NECII	1994	Clinical and Medical Samples
ND_NC0425	NCBI	NA	GCF_001309095.1	Cronobacter sakazakii	699	ASM130909v1	France	Europe		throat	1994	Clinical and Medical Samples
ND_NC0426	NCBI	NA	GCF_001309115.1	Cronobacter sakazakii	700	ASM130911v1	France	Europe		feces from infant with digestive problems	1994	Clinical and Medical Samples
ND_NC0427	NCBI	NA	GCF_001309135.1	Cronobacter sakazakii	694	ASM130913v1	France	Europe		conjunctivae of infant with NECII	1994	Clinical and Medical Samples
ND_NC0428	NCBI	NA	GCF_001309155.1	Cronobacter sakazakii	690	ASM130915v1	France	Europe		feces from asymptomatic infant	1994	Clinical and Medical Samples
ND_NC0429	NCBI	NA	GCF_001309175.1	Cronobacter sakazakii	693	ASM130917v1	France	Europe		feces from asymptomatic infant	1994	Clinical and Medical Samples
ND_NC0430	NCBI	NA	GCF_001309185.1	Cronobacter sakazakii	715	ASM130918v1	France	Europe		remains of reconstituted infant formula fed to infant	1994	Food and Food Ingredients
ND_NC0431	NCBI	NA	GCF_001309215.1	Cronobacter sakazakii	691	ASM130921v1	France	Europe		sputum	1994	Clinical and Medical Samples
ND_NC0432	NCBI	NA	GCF_001309225.1	Cronobacter sakazakii	698	ASM130922v1	France	Europe		feces from infant with NECII	1994	Clinical and Medical Samples
ND_NC0433	NCBI	NA	GCF_001309235.1	Cronobacter sakazakii	716	ASM130923v1	France	Europe		formula	1994	Food and Food Ingredients
ND_NC0434	NCBI	NA	GCF_001309275.1	Cronobacter sakazakii	730	ASM130927v1	France	Europe		infant with NECI	1994	Clinical and Medical Samples
ND_NC0435	NCBI	NA	GCF_001309295.1	Cronobacter sakazakii	692	ASM130929v1	France	Europe		feces from infant with NECII	1994	Clinical and Medical Samples
ND_NC0436	NCBI	NA	GCF_001309305.1	Cronobacter sakazakii	714	ASM130930v1	France	Europe		remains of reconstituted infant formula fed to infant	1994	Food and Food Ingredients
ND_NC0437	NCBI	NA	GCF_001309315.1	Cronobacter sakazakii	696	ASM130931v1	France	Europe		feces from infant with NECII	1994	Clinical and Medical Samples
ND_NC0438	NCBI	NA	GCF_001309345.1	Cronobacter sakazakii	713	ASM130934v1	France	Europe		remains of reconstituted infant formula fed to infant	1994	Food and Food Ingredients
ND_NC0439	NCBI	NA	GCF_001309375.1	Cronobacter sakazakii	703	ASM130937v1	France	Europe		throat from infant wth NECII	1994	Clinical and Medical Samples
ND_NC0440	NCBI	NA	GCF_001309385.1	Cronobacter sakazakii	708	ASM130938v1	France	Europe		throat of asymptomatic infant	1994	Clinical and Medical Samples
ND_NC0441	NCBI	NA	GCF_001309415.1	Cronobacter sakazakii	711	ASM130941v1	France	Europe		feces from asymptomatic infant	1994	Clinical and Medical Samples
ND_NC0442	NCBI	NA	GCF_001309435.1	Cronobacter sakazakii	701	ASM130943v1	France	Europe		periotenial fluid from infant with NECIII	1994	Clinical and Medical Samples
ND_NC0443	NCBI	NA	GCF_001619915.1	Cronobacter sakazakii	M30	ASM161991v1	Malaysia	Asia		Ulu Slim Hot Spring	2011	Environmental Samples
ND_NC0446	NCBI	NA	GCF_001922945.1	Cronobacter sakazakii	MOD1-Md33g	ASM192294v1	USA	North America		alimentary canal	2012	Clinical and Medical Samples
ND_NC0449	NCBI	NA	GCF_001971115.1	Cronobacter sakazakii	6	ASM197111v1	Canada	North America		clinical	1990	Clinical and Medical Samples
ND_NC0452	NCBI	NA	GCF_001971205.1	Cronobacter sakazakii	558	ASM197120v1	Netherlands	Europe		clinical	1983	Clinical and Medical Samples
ND_NC0453	NCBI	NA	GCF_001971315.1	Cronobacter sakazakii	1240	ASM197131v1	USA	North America		CSF isolate	2009	Clinical and Medical Samples
ND_NC0454	NCBI	NA	GCF_001971365.1	Cronobacter sakazakii	1231	ASM197136v1	New Zealand	Oceania		fecal isolate from infant with meningitis	2005	Clinical and Medical Samples
ND_NC0456	NCBI	NA	GCF_001971405.1	Cronobacter sakazakii	1218	ASM197140v1	USA	North America		CSF isolate from a less than 1 month old infant, 30 wk EGA with fatal meningitis	2001	Clinical and Medical Samples
ND_NC0457	NCBI	NA	GCF_001971415.1	Cronobacter sakazakii	1249	ASM197141v1	United Kingdom	Europe		Clinical, fatal infant meningitis	2010	Clinical and Medical Samples
