ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC2716	NCBI	NA	GCF_041222865.1	Cronobacter turicensis	LMG23827	ASM4122286v1	Switzerland	Europe		blood	2005	Clinical and Medical Samples
ND_NC2717	NCBI	NA	GCF_001922905.1	Cronobacter turicensis	MOD1-Sh41s	ASM192290v1	USA	North America		insect surface	2012	Animal and Biological Sources
ND_NC2718	NCBI	NA	GCF_001999505.1	Cronobacter turicensis	MOD1-Sh41g	ASM199950v1	USA	North America		alimentary canal	2012	Clinical and Medical Samples
ND_NC2719	NCBI	NA	GCF_002421105.1	Cronobacter turicensis		ASM242110v1	USA	North America		wood	Unknown	Animal and Biological Sources
ND_NC2720	NCBI	NA	GCF_002976535.1	Cronobacter turicensis	cro863W1	ASM297653v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC2721	NCBI	NA	GCF_002976545.1	Cronobacter turicensis	cro3064B1	ASM297654v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC2722	NCBI	NA	GCF_002976555.1	Cronobacter turicensis	cro2991W	ASM297655v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC2723	NCBI	NA	GCF_007845795.1	Cronobacter turicensis	MOD1_Md1sN	ASM784579v1	USA	North America		fly surface	2012	Animal and Biological Sources
ND_NC2724	NCBI	NA	GCF_009938345.1	Cronobacter turicensis	SD21	ASM993834v1	China	Asia		water	2010	Food and Food Ingredients
ND_NC2726	NCBI	NA	GCF_011605535.1	Cronobacter turicensis	HA18060	ASM1160553v1	China	Asia		Powdered Infant Formula	2018	Food and Food Ingredients
ND_NC2727	NCBI	NA	GCF_011605625.1	Cronobacter turicensis	HA18016	ASM1160562v1	China	Asia		Powdered Infant Formula	2018	Food and Food Ingredients
ND_NC2728	NCBI	NA	GCF_011605685.1	Cronobacter turicensis	HA18072	ASM1160568v1	China	Asia		Powdered Infant Formula	2018	Food and Food Ingredients
ND_NC2729	NCBI	NA	GCF_013363985.1	Cronobacter turicensis	Cr170	ASM1336398v1	Israel	Asia		powdered infant formula	2007	Food and Food Ingredients
ND_NC2730	NCBI	NA	GCF_030012035.1	Cronobacter turicensis	MOD1-E694	ASM3001203v1	Ireland	Europe		food	Unknown	Food and Food Ingredients
ND_NC2731	NCBI	NA	GCF_030012055.1	Cronobacter turicensis	MOD1-E626	ASM3001205v1	Ireland	Europe		Food,Infant food	Unknown	Food and Food Ingredients
ND_NC2732	NCBI	NA	GCF_030012105.1	Cronobacter turicensis	MOD1-E866	ASM3001210v1	Ireland	Europe		Unknown	Unknown	Unknown and Unclassified Sources
ND_NC2733	NCBI	NA	GCF_030012185.1	Cronobacter turicensis	MOD1-E933	ASM3001218v1	Ireland	Europe		Unknown	Unknown	Unknown and Unclassified Sources
ND_NC2734	NCBI	NA	GCF_030025495.1	Cronobacter turicensis	MOD1-3-24	ASM3002549v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
ND_NC2735	NCBI	NA	GCF_030025545.1	Cronobacter turicensis	MOD1-2-15	ASM3002554v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
ND_NC2736	NCBI	NA	GCF_030025585.1	Cronobacter turicensis	MOD1-5-15G	ASM3002558v1	South Korea	Asia		nuts	Unknown	Food and Food Ingredients
