ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0001	NCBI	NA	GCF_004123725.1	Cronobacter condimenti	s37	ASM412372v1	Poland	Europe		radish sprouts	2016	Food and Food Ingredients
ND_NC0002	NCBI	NA	GCF_041222845.1	Cronobacter condimenti	LMG26250	ASM4122284v1	Slovakia	Europe		spiced meat	2010	Food and Food Ingredients
ND_NC0003	NCBI	NA	GCF_001277255.1	Cronobacter condimenti	LMG 26250	ASM127725v1	Slovakia	Europe		spiced meat	2007	Food and Food Ingredients
ND_NC0004	NCBI	NA	GCF_000319285.1	Cronobacter condimenti	1330	ASM31928v1	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_NC0005	NCBI	NA	GCF_002978555.1	Cronobacter dublinensis	cro3540W	ASM297855v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0006	NCBI	NA	GCF_002978615.1	Cronobacter dublinensis	cro680B1-1	ASM297861v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0007	NCBI	NA	GCF_002978625.1	Cronobacter dublinensis	cro965C1	ASM297862v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0008	NCBI	NA	GCF_002978655.1	Cronobacter dublinensis	cro3214W	ASM297865v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0009	NCBI	NA	GCF_002978675.1	Cronobacter dublinensis	cro3213W	ASM297867v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0010	NCBI	NA	GCF_002978695.1	Cronobacter dublinensis	cro4191B1-1	ASM297869v1	China	Asia		food	2016	Food and Food Ingredients
ND_NC0011	NCBI	NA	GCF_002978705.2	Cronobacter dublinensis	cro946B2	ASM297870v2	China	Asia		food	2012	Food and Food Ingredients
ND_NC0012	NCBI	NA	GCF_002978715.1	Cronobacter dublinensis	cro2915W	ASM297871v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0013	NCBI	NA	GCF_002978755.1	Cronobacter dublinensis	cro4191A2	ASM297875v1	China	Asia		food	2016	Food and Food Ingredients
ND_NC0014	NCBI	NA	GCF_002978775.1	Cronobacter dublinensis	cro1046W	ASM297877v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0015	NCBI	NA	GCF_002978795.1	Cronobacter dublinensis	cro1046A1	ASM297879v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0016	NCBI	NA	GCF_002978805.1	Cronobacter dublinensis	cro1046A2-1	ASM297880v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0017	NCBI	NA	GCF_002978815.1	Cronobacter dublinensis	cro981W	ASM297881v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0018	NCBI	NA	GCF_002978855.1	Cronobacter dublinensis	cro981C3	ASM297885v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0020	NCBI	NA	GCF_002978895.1	Cronobacter dublinensis	cro964C2	ASM297889v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0021	NCBI	NA	GCF_002978905.1	Cronobacter dublinensis	cro964A1	ASM297890v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0022	NCBI	NA	GCF_002978915.1	Cronobacter dublinensis	cro981C1	ASM297891v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0023	NCBI	NA	GCF_002978955.1	Cronobacter dublinensis	cro914C1	ASM297895v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0024	NCBI	NA	GCF_002978975.1	Cronobacter dublinensis	cro3314A3-1	ASM297897v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0025	NCBI	NA	GCF_002978995.1	Cronobacter dublinensis	cro580A1	ASM297899v1	China	Asia		food	2012	Food and Food Ingredients
ND_NC0026	NCBI	NA	GCF_002979015.1	Cronobacter dublinensis	cro3314A1	ASM297901v1	China	Asia		food	2015	Food and Food Ingredients
ND_NC0027	NCBI	NA	GCF_002979035.1	Cronobacter dublinensis	cro2864A2	ASM297903v1	China	Asia		food	2015	Food and Food Ingredients
