ID_ND;id;isolate;aliases;species;biotype;serotype;SNP_profile;country;continent;region;source;detail_of_isolation;year;month;comments;DOI;bioproject_accession;biosample_accession;run_accession;NCBI_assembly_accession;sender;curator;date_entered;datestamp;references
ND_PM0001;5;658;ATCC BAA-894;C. sakazakii;2;Csak O1;;USA;North America;;Non-infant formula;;2001;;"Common misconception of strain source. Formula was for intended age >1yr and was not powdered infant formula. First Cronobacter genome sequenced; Kucerova et al. (2010) Genome sequence of Cronobacter sakazakii BAA-894 [...] PLoS ONE 5(3): e9556.; RefSeq: NC_009778.1; Serotype predicted by Crotrait WGS analysis.";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_000017665.1;3;-1;2010-01-12;2024-02-28;"No authors listed 2002 JAMA 287:2204-5;No authors listed 2002 MMWR Morb Mortal Wkly Rep 51:297-300;Townsend et al. 2007 Food Microbiol 24:67-74;Baldwin et al. 2009 BMC Microbiol 9:223;Kucerova et al. 2010 PLoS One 5:e9556;Feeney et al. 2011 Bioeng Bugs 2:260-70;Alvarez-Ordóñez et al. 2012 Appl Environ Microbiol 78:3975-84;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0002;24;558;;C. sakazakii;1;Csak O2;;The Netherlands;Europe;;Clinical;;1983;;"No further clinical information; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-12;2024-02-28;"Muytjens et al. 1983 J Clin Microbiol 18:115-20;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0003;46;680;CDC 996-77;C. sakazakii;3;Csak O1;;USA;North America;;Clinical;;1977;;"Biotype 3 index strain. Spinal fluid isolate. No further clinical information.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-12;2023-10-28;"Iversen et al. 2006 BMC Microbiol 6:94;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0004;50;513;;C. sakazakii;4a;Csak O4;;Czech Republic;Europe;;Clinical;;1983;;"No further clinical information.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-12;2023-10-28;"Aldová et al. 1983 Zentralbl Bakteriol Mikrobiol Hyg A 256:103-8;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0005;57;1108;;C. sakazakii;3;Csak O4;;UK;Europe;;Weaning food;;2008;;;;;;;;3;-1;2010-01-12;2023-06-28;"Chap et al. 2009 Int J Food Microbiol 136:185-8;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0006;61;681;"CDC1058-77; DSM18702T; LMG23826T";C. malonaticus;9;Cmal O2;;USA;North America;;Clinical;;1977;;"Serotype predicted by Crotrait WGS analysis; Species type strain. Biotype 9 index strain. Breast abscess isolate. RefSeq: NZ_CP013940.1";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_001277215.2;3;-1;2010-01-13;2024-02-28;"Iversen et al. 2006 BMC Microbiol 6:94;Iversen et al. 2008 Int J Syst Evol Microbiol 58:1442-7;Baldwin et al. 2009 BMC Microbiol 9:223;Kucerova et al. 2010 PLoS One 5:e9556;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0007;71;565;CDC 1895-73;C. malonaticus;14;Cmal O2;;USA;North America;;Clinical;;1973;;"Biotype 14 index strain. Faecal isolate. No further clinical information.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-13;2024-02-28;"Iversen et al. 2006 BMC Microbiol 6:94;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0008;74;507;;C. malonaticus;13b;Cmal O3;;Czech Republic;Europe;;Clinical;;1984;;"Adult, 17 year old male. Faecal isolate. No further clinical information. Biotype 13b index strain. Serotype changed from CsakO5 to Cmal O3; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-13;2024-02-28;"Aldová et al. 1983 Zentralbl Bakteriol Mikrobiol Hyg A 256:103-8;Iversen et al. 2006 BMC Microbiol 6:94;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 PLoS One 7:e49455;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0009;75;512;;C. malonaticus;2a;Cmal O3;;Czech Republic;Europe;;Clinical;;1983;;"Biotype 2a index strain. No further clinical information. Incorrectly speciated as Csakazakii initially and given serotype Csak O5.; Original PCR predicted O-serotype (Cmal O1) corrected after Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-13;2024-02-28;"Aldová et al. 1983 Zentralbl Bakteriol Mikrobiol Hyg A 256:103-8;Iversen et al. 2006 BMC Microbiol 6:94;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0010;76;514;;C. malonaticus;9;Cmal O3;;Czech Republic;Europe;;Clinical;;1983;;"No further clinical information. Incorrectly speciated initially as Csakazakii and given serotype as Csak O5, this has been corrected to Cmal O1; Original PCR predicted O-serotype (Cmal O1) corrected after Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2010-01-13;2024-02-28;"Aldová et al. 1983 Zentralbl Bakteriol Mikrobiol Hyg A 256:103-8;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
