Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ND_NC0065	100	0.04	Neural Network (Specific Model)	11	0.876	805486	322.26036809816	4491274	0.58	4075	25	1630747	None
ND_NC0280	99.9	0.98	Neural Network (Specific Model)	11	0.873	28014	304.439047174218	4470927	0.57	4282	309	109406	None
ND_NC0973	100	0.61	Neural Network (Specific Model)	11	0.877	278534	309.810565870911	4786106	0.56	4524	164	496454	None
ND_NC1594	100	0.11	Neural Network (Specific Model)	11	0.88	94143	320.994980184941	4135869	0.57	3785	95	218509	None
ND_NC1624	100	0.06	Neural Network (Specific Model)	11	0.878	526913	315.123397048149	4444610	0.57	4133	84	1457596	None
ND_NC2710	100	0.09	Neural Network (Specific Model)	11	0.878	369477	315.58912115082	4789862	0.57	4449	72	767291	None
ND_NC2712	100	0.09	Neural Network (Specific Model)	11	0.878	374616	315.381540534471	4791260	0.57	4453	73	740468	None
ND_PM0047	100	0.07	Neural Network (Specific Model)	11	0.876	4268675	320.52450603028	4268675	0.57	3897	1	4268675	None
ND_PM0074	100	0.03	Neural Network (Specific Model)	11	0.869	4344092	314.581914128088	4518784	0.57	4169	4	4344092	None
ND_PM0100	99.99	0.13	Neural Network (Specific Model)	11	0.873	4377544	314.579134137686	4559945	0.57	4227	3	4377544	None
ND_PM0322	100	0.02	Neural Network (Specific Model)	11	0.875	4347991	319.545609340793	4499482	0.56	4111	2	4347991	None
ND_PM0323	100	0.04	Neural Network (Specific Model)	11	0.874	4431067	321.911126995473	4628405	0.58	4197	2	4431067	None
ND_PM0324	99.99	0.75	Neural Network (Specific Model)	11	0.87	4294639	316.105787937743	4473761	0.57	4112	3	4294639	None
ND_PM0325	99.97	0.03	Neural Network (Specific Model)	11	0.873	4307096	319.198320572981	4436873	0.58	4049	2	4307096	None
ND_PM0327	100	0.04	Neural Network (Specific Model)	11	0.875	4364114	324.902090770015	4364114	0.58	3922	1	4364114	None
ND_PM0364	100	0.03	Neural Network (Specific Model)	11	0.88	284013	315.920600338901	4442307	0.57	4131	70	611427	None
ND_PM0365	100	0.47	Neural Network (Specific Model)	11	0.879	94176	311.193496309963	4599266	0.57	4336	94	239703	None
ND_PM0432	100	0.06	Neural Network (Specific Model)	11	0.876	292083	318.443251159385	4458952	0.57	4097	33	715874	None
ND_PM0447	100	0.08	Neural Network (Specific Model)	11	0.877	523910	319.973867595819	4390622	0.57	4018	27	715982	None
ND_PM0492	100	0.03	Neural Network (Specific Model)	11	0.878	207113	321.160709822544	4382750	0.57	4001	60	661242	None
ND_PM0496	99.81	0.35	Neural Network (Specific Model)	11	0.882	50984	308.65995930364	4634506	0.56	4423	161	184692	None
ND_PM0498	100	0.11	Neural Network (Specific Model)	11	0.868	524453	307.653529666522	4902417	0.56	4618	67	1334544	None
ND_PM0499	99.99	0.01	Neural Network (Specific Model)	11	0.879	615211	319.423728813559	4369037	0.57	4012	26	1280364	None
ND_PM0545	99.91	0.15	Neural Network (Specific Model)	11	0.879	451733	314.191914498141	4607764	0.56	4304	25	947234	None
ND_PM0546	100	0.01	Neural Network (Specific Model)	11	0.901	408449	320.242807825086	4625541	0.56	4345	26	955261	None
ND_PM0565	100	0.44	Neural Network (Specific Model)	11	0.876	270336	314.31680113906	4529541	0.58	4214	100	650627	None
ND_PM0695	100	0.05	Neural Network (Specific Model)	11	0.871	4432028	314.806088682991	4908057	0.56	4533	3	4432028	None
ND_PM0713	100	0.04	Neural Network (Specific Model)	11	0.88	328604	320.068456700532	4503911	0.57	4134	32	1022130	None
ND_PM0771	99.99	0.04	Neural Network (Specific Model)	11	0.878	2446393	321.194751042433	4465967	0.57	4077	13	2446393	None
ND_PM0772	99.99	0.03	Neural Network (Specific Model)	11	0.878	2446850	321.244357212954	4466510	0.57	4076	13	2446850	None
ND_PM0773	99.98	0.04	Neural Network (Specific Model)	11	0.878	2446756	321.152525747916	4466767	0.57	4078	13	2446756	None
ND_PM0774	100	0.08	Neural Network (Specific Model)	11	0.878	544501	316.988164251208	4477217	0.57	4140	43	903168	None
ND_PM0775	100	0.04	Neural Network (Specific Model)	11	0.873	4408047	320.124101581217	4581781	0.57	4174	4	4408047	None
ND_PM0806	99.99	0.04	Neural Network (Specific Model)	11	0.877	2305876	324.786585365854	4182151	0.57	3772	14	2305876	None
ND_PM0811	100	0.04	Neural Network (Specific Model)	11	0.873	4408047	320.124101581217	4581781	0.57	4174	4	4408047	None
ND_PM0813	99.98	0.04	Neural Network (Specific Model)	11	0.878	2446756	321.152525747916	4466767	0.57	4078	13	2446756	None
ND_PM0815	100	0.02	Neural Network (Specific Model)	11	0.876	2333811	322.665926474217	4470511	0.58	4053	20	2333811	None
ND_PM0816	99.99	0.04	Neural Network (Specific Model)	11	0.878	2446393	321.194751042433	4465967	0.57	4077	13	2446393	None
ND_PM0820	99.99	0.03	Neural Network (Specific Model)	11	0.878	2446850	321.244357212954	4466510	0.57	4076	13	2446850	None
ND_PM0845	100	0.05	Neural Network (Specific Model)	11	0.871	4432028	314.806088682991	4908057	0.56	4533	3	4432028	None
ND_PM0921	99.99	0.07	Neural Network (Specific Model)	11	0.88	2379418	322.847108463639	4428410	0.57	4029	11	2379418	None
ND_PM0944	99.99	0.01	Neural Network (Specific Model)	11	0.881	408818	322.11555213938	4273602	0.57	3903	29	790497	None
ND_PM0996	100	0.52	Neural Network (Specific Model)	11	0.876	4331679	319.213934022649	4432553	0.57	4062	2	4331679	None
ND_PM1003	100	0.58	Neural Network (Specific Model)	11	0.873	4350614	314.130927105449	4569540	0.57	4239	3	4350614	None
ND_PM1025	99.99	1.91	Neural Network (Specific Model)	11	0.882	277217	317.957098838587	4557683	0.57	4219	38	795259	None
ND_PM1027	100	0.3	Neural Network (Specific Model)	11	0.881	124969	315.774475112055	4552173	0.57	4239	108	399714	None
ND_PM1037	100	0.32	Neural Network (Specific Model)	11	0.878	379534	319.27835802769	4481850	0.57	4117	36	774529	None
ND_PM1048	100	1.13	Neural Network (Specific Model)	11	0.876	243517	316.385049365303	4599353	0.57	4254	49	806325	None
ND_PM1094	100	0.8	Neural Network (Specific Model)	11	0.877	295437	313.498503338706	4651564	0.57	4343	37	785533	None
ND_PM1100	99.99	1.25	Neural Network (Specific Model)	11	0.876	92577	312.653382761816	4614289	0.57	4316	97	310516	None
ND_PM1118	99.99	0.83	Neural Network (Specific Model)	11	0.876	265513	315.828368794326	4565533	0.57	4230	58	663001	None
ND_PM1122	100	0.13	Neural Network (Specific Model)	11	0.877	4322391	322.684793307087	4478755	0.57	4064	3	4322391	None
ND_PM1131	100	0.09	Neural Network (Specific Model)	11	0.875	362867	316.200141276195	4597531	0.57	4247	40	827797	None
ND_PM1133	99.99	0.28	Neural Network (Specific Model)	11	0.881	62707	314.199299883314	4575958	0.57	4285	126	167013	None
ND_PM1135	99.99	3.46	Neural Network (Specific Model)	11	0.88	321599	316.130890052356	4727036	0.57	4393	43	560994	None
ND_PM1144	99.99	0.41	Neural Network (Specific Model)	11	0.879	574278	319.014265668849	4648236	0.57	4276	35	1800769	None
ND_PM1145	99.99	0.78	Neural Network (Specific Model)	11	0.877	350740	312.735166093929	4663401	0.57	4365	73	564974	None
ND_PM1150	99.99	0.83	Neural Network (Specific Model)	11	0.876	265513	315.828368794326	4565533	0.57	4230	58	663001	None
ND_PM1165	100	0.42	Neural Network (Specific Model)	11	0.883	624230	318.462096396818	4617754	0.57	4274	30	1065567	None
ND_PM1172	100	0.34	Neural Network (Specific Model)	11	0.88	145070	316.347215830649	4678208	0.57	4346	94	431763	None
ND_PM1176	100	0.8	Neural Network (Specific Model)	11	0.878	125790	313.512330029961	4639235	0.57	4339	69	433398	None
ND_PM1192	100	0.45	Neural Network (Specific Model)	11	0.881	352478	317.876345371921	4519108	0.57	4181	48	466495	None
ND_PM1193	100	0.23	Neural Network (Specific Model)	11	0.881	148216	317.429565634749	4495576	0.57	4167	61	356585	None
ND_PM1198	100	0.81	Neural Network (Specific Model)	11	0.878	515671	316.27035366722	4545205	0.57	4213	31	747296	None
ND_PM1204	100	2.26	Neural Network (Specific Model)	11	0.879	94151	314.806730331969	4715072	0.57	4398	101	335755	None
