ND_ID;Assembly Accession;Annotation Count Gene Non-coding;Annotation Count Gene Protein-coding
ND_NC0001;GCF_004123725.1;96;4200
ND_NC0002;GCF_041222845.1;113;4065
ND_NC0003;GCF_001277255.1;113;4067
ND_NC0004;GCF_000319285.1;85;3733
ND_NC0005;GCF_002978555.1;113;4112
ND_NC0006;GCF_002978615.1;127;4108
ND_NC0007;GCF_002978625.1;114;4072
ND_NC0008;GCF_002978655.1;237;4091
ND_NC0009;GCF_002978675.1;89;3859
ND_NC0010;GCF_002978695.1;99;4159
ND_NC0011;GCF_002978705.2;122;4109
ND_NC0012;GCF_002978715.1;165;4162
ND_NC0013;GCF_002978755.1;121;4212
ND_NC0014;GCF_002978775.1;108;4168
ND_NC0015;GCF_002978795.1;93;3885
ND_NC0016;GCF_002978805.1;107;4106
ND_NC0017;GCF_002978815.1;108;4106
ND_NC0018;GCF_002978855.1;136;4037
ND_NC0019;GCF_002978875.2;112;4507
ND_NC0020;GCF_002978895.1;108;4178
ND_NC0021;GCF_002978905.1;105;4315
ND_NC0022;GCF_002978915.1;82;3834
ND_NC0023;GCF_002978955.1;86;4143
ND_NC0024;GCF_002978975.1;105;4158
ND_NC0025;GCF_002978995.1;105;4273
ND_NC0026;GCF_002979015.1;107;4268
ND_NC0027;GCF_002979035.1;106;4191
ND_NC0028;GCF_002979055.1;94;3887
ND_NC0029;GCF_002979075.1;117;4140
ND_NC0030;GCF_002979095.1;91;4076
ND_NC0031;GCF_002979115.1;106;4085
ND_NC0032;GCF_002979135.1;100;3871
ND_NC0033;GCF_002979155.1;136;4062
ND_NC0034;GCF_002979175.1;132;4353
ND_NC0035;GCF_009938445.1;87;4229
ND_NC0036;GCF_009938525.1;69;4256
ND_NC0037;GCF_009938535.1;87;4001
ND_NC0038;GCF_009938635.1;45;4138
ND_NC0039;GCF_009938875.1;89;4327
ND_NC0040;GCF_011605635.1;96;4062
ND_NC0041;GCF_029227755.1;115;4302
ND_NC0042;GCF_029227785.1;118;4347
ND_NC0043;GCF_030011965.1;98;4023
ND_NC0044;GCF_030011995.1;92;4101
ND_NC0045;GCF_030012135.1;95;4256
ND_NC0046;GCF_030012155.1;99;4279
ND_NC0047;GCF_030023505.1;82;4211
ND_NC0048;GCF_030023585.1;89;4154
ND_NC0049;GCF_030025425.1;90;4056
ND_NC0050;GCF_030025445.1;95;4188
ND_NC0051;GCF_030025485.1;76;4136
ND_NC0052;GCF_030025595.1;87;4267
ND_NC0053;GCF_030025765.1;87;4101
ND_NC0054;GCF_030126365.1;97;4330
ND_NC0055;GCF_030126385.1;99;4317
ND_NC0056;GCF_030126405.1;96;4312
ND_NC0057;GCF_030126425.1;87;4113
ND_NC0058;GCF_030710875.1;72;4219
ND_NC0059;GCF_032026925.1;81;4249
ND_NC0060;GCF_032026945.1;83;4293
ND_NC0061;GCF_032598745.1;120;4315
ND_NC0062;GCF_041222905.1;118;4107
ND_NC0063;GCF_043258315.1;72;4215
ND_NC0064;GCF_044142805.1;90;4113
ND_NC0065;GCF_046543435.1;90;4113
ND_NC0066;GCA_016076555.1;96;4132
ND_NC0067;GCA_016076875.1;89;3920
ND_NC0068;GCA_026609995.2;87;4276
ND_NC0069;GCA_028154205.1;90;4334
ND_NC0070;GCA_028171845.1;91;4173
ND_NC0071;GCA_028216275.1;88;4247
ND_NC0072;GCA_028638895.1;86;4233
ND_NC0073;GCA_029228395.1;90;4181
ND_NC0074;GCA_030735835.1;91;4253
ND_NC0075;GCA_030736055.1;90;4246
ND_NC0076;GCA_030736435.1;88;4176
ND_NC0077;GCA_030736455.1;86;4127
ND_NC0078;GCA_032071845.1;;
ND_NC0079;GCA_032854905.1;93;4127
ND_NC0080;GCA_032855605.1;91;4269
ND_NC0081;GCA_032855705.1;94;4108
ND_NC0082;GCA_032855805.1;90;4273
ND_NC0083;GCA_032855965.1;89;4133
ND_NC0084;GCA_032856145.1;92;4207
ND_NC0085;GCA_032856245.1;97;4153
ND_NC0086;GCA_033897305.1;96;4308
ND_NC0087;GCA_033897405.1;89;4489
ND_NC0088;GCA_033897625.1;89;4205
ND_NC0089;GCA_033898045.1;90;4583
ND_NC0090;GCA_033898165.1;92;4333
ND_NC0091;GCA_033941245.1;93;4220
ND_NC0092;GCA_033942085.1;90;4303
ND_NC0093;GCA_033942095.1;90;4483
ND_NC0094;GCA_033942165.1;88;4175
ND_NC0095;GCA_033943705.1;90;4219
ND_NC0096;GCA_033944145.1;88;4180
ND_NC0097;GCA_033944185.1;90;4142
ND_NC0098;GCA_033944565.1;90;4568
ND_NC0099;GCA_033944645.1;90;4163
ND_NC0100;GCA_033960385.1;89;4535
ND_NC0101;GCA_033960505.1;88;4223
ND_NC0102;GCA_033962475.1;95;4272
ND_NC0103;GCA_034001925.1;92;4306
ND_NC0104;GCA_034257795.1;95;4288
ND_NC0105;GCA_034408785.1;88;4228
ND_NC0106;GCA_035867885.1;93;4075
ND_NC0107;GCA_036839495.1;;
ND_NC0108;GCA_044703525.1;95;4218
ND_NC0109;GCA_044703545.1;93;4201
ND_NC0110;GCA_044709875.1;87;4191
ND_NC0111;GCA_044710195.1;87;4351
ND_NC0112;GCA_044710795.1;98;4213
ND_NC0113;GCA_044710875.1;99;4541
ND_NC0114;GCA_044710975.1;89;4210
ND_NC0115;GCA_044711675.1;92;4254
