Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ND_NC0001	100	0.02	Neural Network (Specific Model)	11	0.876	532226	315.845448129852	4590604	0.56	4251	43	956796	None
ND_NC0002	100	0.02	Neural Network (Specific Model)	11	0.874	4348042	319.629350206863	4499533	0.56	4109	2	4348042	None
ND_NC0003	100	0.02	Neural Network (Specific Model)	11	0.875	4347991	319.545609340793	4499482	0.56	4111	2	4347991	None
ND_NC0004	99.99	1.46	Neural Network (Specific Model)	11	0.873	83159	292.275939177102	4480625	0.56	4472	155	168571	None
ND_NC0005	100	0.05	Neural Network (Specific Model)	11	0.874	484609	321.396875762753	4513759	0.58	4097	51	878216	None
ND_NC0006	100	0.08	Neural Network (Specific Model)	11	0.872	888299	318.027520759193	4601986	0.58	4215	58	1501926	None
ND_NC0007	100	0.04	Neural Network (Specific Model)	11	0.871	61529	317.601608187135	4479800	0.58	4104	219	199685	None
ND_NC0008	100	0.04	Neural Network (Specific Model)	11	0.854	442305	320.963408644401	4581775	0.58	4072	274	1010775	None
ND_NC0009	99.96	1.03	Neural Network (Specific Model)	11	0.863	38478	284.506213936973	4445206	0.58	4506	292	149923	None
ND_NC0010	100	0.03	Neural Network (Specific Model)	11	0.873	537878	318.925217812198	4521563	0.58	4132	52	883903	None
ND_NC0011	100	0.04	Neural Network (Specific Model)	11	0.874	227579	317.518133462282	4502200	0.58	4136	169	444279	None
ND_NC0012	100	0.06	Neural Network (Specific Model)	11	0.863	480649	317.882707129094	4582082	0.58	4152	179	1021838	None
ND_NC0013	100	0.02	Neural Network (Specific Model)	11	0.879	541168	320.256446991404	4572165	0.58	4188	48	1327668	None
ND_NC0014	100	0.13	Neural Network (Specific Model)	11	0.874	427244	320.03901734104	4555212	0.58	4152	46	758318	None
ND_NC0015	99.99	0.21	Neural Network (Specific Model)	11	0.866	38863	287.249780893953	4531870	0.58	4564	289	191896	None
ND_NC0016	99.99	2.57	Neural Network (Specific Model)	11	0.871	90467	300.711853162318	4675123	0.58	4522	226	364208	None
ND_NC0017	100	0.02	Neural Network (Specific Model)	11	0.87	191553	317.721137623524	4535886	0.58	4149	65	545425	None
ND_NC0018	99.99	0.08	Neural Network (Specific Model)	11	0.868	51960	316.243680981595	4444593	0.58	4075	287	180352	None
ND_NC0020	100	0.03	Neural Network (Specific Model)	11	0.876	313023	320.366849773107	4589130	0.58	4187	61	614196	None
ND_NC0021	100	1.99	Neural Network (Specific Model)	11	0.876	433350	308.332001775411	4747669	0.58	4506	192	1422125	None
ND_NC0022	99.81	0.96	Neural Network (Specific Model)	11	0.871	78773	292.814301675978	4501736	0.58	4475	133	176709	None
ND_NC0023	100	0.4	Neural Network (Specific Model)	11	0.874	159879	305.642600896861	4671147	0.58	4460	82	377602	None
ND_NC0024	100	0.02	Neural Network (Specific Model)	11	0.869	359806	316.934497816594	4504806	0.58	4122	146	1046821	None
ND_NC0025	100	0.04	Neural Network (Specific Model)	11	0.873	219501	315.766759776536	4651317	0.58	4296	97	737649	None
ND_NC0026	100	0.05	Neural Network (Specific Model)	11	0.876	347878	319.662184477471	4631756	0.58	4239	78	1014728	None
ND_NC0027	100	0.03	Neural Network (Specific Model)	11	0.879	1038202	317.938653247064	4523015	0.58	4173	48	1322891	None
ND_NC0028	99.99	0.06	Neural Network (Specific Model)	11	0.867	30735	283.393392070485	4441976	0.58	4540	386	122753	None
ND_NC0029	100	0.11	Neural Network (Specific Model)	11	0.875	60671	319.063614457831	4532739	0.58	4150	194	197872	None
ND_NC0030	100	0.44	Neural Network (Specific Model)	11	0.876	270336	314.286900806834	4529541	0.58	4214	100	650627	None
ND_NC0031	99.99	0.35	Neural Network (Specific Model)	11	0.871	267357	314.428160230271	4509100	0.58	4169	43	542551	None
ND_NC0032	99.89	0.45	Neural Network (Specific Model)	11	0.869	75226	300.9376724931	4508481	0.58	4348	124	182129	None
ND_NC0033	100	0.18	Neural Network (Specific Model)	11	0.873	169297	323.24527833002	4462000	0.58	4024	145	395436	None
ND_NC0034	99.99	1.39	Neural Network (Specific Model)	11	0.874	77683	309.494011299435	4695093	0.58	4425	349	299313	None
ND_NC0035	100	0.01	Neural Network (Specific Model)	11	0.878	544493	321.769945225054	4608488	0.58	4199	24	987023	None
ND_NC0036	100	0.01	Neural Network (Specific Model)	11	0.871	365987	319.880929791271	4638678	0.58	4216	31	1121434	None
ND_NC0037	99.99	0.02	Neural Network (Specific Model)	11	0.877	1037745	324.396737766625	4412986	0.58	3985	21	1350915	None
